Memory Usage,Inference_Time,Model_Output
0,451,0
0,311,4
0,275,0
0,272,0
0,268,0
0,269,0
0,263,0
0,267,3
0,276,0
0,273,0
0,276,0
0,272,0
0,265,0
0,269,0
0,275,0
0,272,0
0,275,0
0,272,0
4.29E+09,446,0
0,265,0
0,266,0
0,273,0
0,276,0
0,268,0
0,272,0
0,273,0
0,266,0
0,270,0
0,275,0
0,274,5
0,279,0
0,261,0
4.29E+09,362,0
0,272,3
0,275,0
0,272,0
0,276,0
0,273,4
0,279,5
0,272,0
0,274,0
0,272,0
24,275,0
0,263,0
0,275,0
0,270,0
0,274,0
0,272,0
0,266,0
0,261,0
0,277,0
0,262,0
0,277,5
0,261,0
0,263,0
0,275,4
0,265,0
0,272,0
0,276,0
0,273,0
0,275,0
0,271,0
0,276,4
0,415,0
0,275,0
0,419,0
0,278,4
0,271,0
0,276,3
0,272,5
0,272,0
0,270,0
0,278,3
0,267,0
0,276,0
0,272,4
0,275,0
0,275,0
0,275,0
0,271,0
0,278,0
0,255,0
0,271,0
0,262,0
0,279,0
0,270,0
0,265,0
0,271,0
0,275,0
0,274,4
0,275,0
0,259,0
0,277,4
0,275,0
0,277,5
0,273,0
0,278,0
4.29E+09,378,0
0,277,0
0,262,0
0,276,0
0,268,0
0,276,0
0,271,0
0,272,0
0,270,0
0,277,0
0,271,0
0,273,0
0,270,0
0,270,0
0,269,0
0,275,5
0,384,0
0,265,0
0,275,4
0,275,0
0,274,0
2324,264,0
0,269,0
0,274,0
0,273,0
0,278,3
0,268,0
0,276,0
4.29E+09,466,0
0,421,0
0,270,0
0,274,0
0,275,0
0,266,0
0,269,0
0,278,4
0,271,0
0,259,0
0,259,0
0,264,0
0,262,0
0,269,0
0,275,0
0,275,0
0,261,0
0,270,0
0,272,0
0,273,0
0,273,0
0,276,4
0,261,0
0,276,0
0,273,0
0,279,4
0,262,0
0,268,0
0,273,0
0,267,0
0,264,0
0,266,0
0,273,0
0,277,4
0,271,0
0,270,0
0,272,4
0,274,0
0,275,5
0,277,0
0,269,0
0,277,4
0,271,0
0,275,0
0,273,5
0,276,0
0,270,0
0,276,0
0,271,0
0,264,0
0,268,0
0,276,0
2324,345,5
0,276,4
0,270,0
4.29E+09,379,0
0,270,0
0,273,0
0,263,0
0,279,0
0,271,0
0,278,0
0,274,4
0,274,0
0,271,0
0,271,0
0,272,3
0,279,5
0,467,0
0,271,0
0,275,0
0,276,0
0,270,0
0,272,0
0,271,0
0,278,0
0,272,0
0,275,0
0,263,0
0,271,0
0,270,0
0,275,3
24,264,0
0,273,0
0,264,0
0,279,0
0,267,0
0,268,0
0,261,0
0,276,0
0,273,0
0,263,0
0,274,0
0,275,0
0,272,0
0,268,0
0,271,0
0,277,0
0,261,0
0,274,0
0,270,0
0,275,4
0,272,0
0,275,0
0,270,0
0,277,0
0,266,0
0,264,0
0,272,0
0,266,0
0,275,0
0,279,0
0,270,0
0,276,0
4.29E+09,271,3
0,264,0
0,269,0
0,274,0
0,255,0
0,265,0
0,270,0
0,268,0
0,263,0
0,278,3
0,272,5
0,272,0
0,270,0
0,277,0
0,273,4
0,278,5
0,267,0
0,274,0
0,259,0
0,276,0
0,272,0
0,259,0
0,273,0
0,274,0
0,271,0
0,276,0
0,274,4
0,275,0
0,275,0
0,277,0
0,270,0
0,274,0
0,275,5
0,275,0
0,272,0
0,276,0
0,263,0
0,274,0
0,260,0
0,275,4
0,270,0
0,275,5
0,260,0
0,266,0
0,304,0
4.29E+09,435,0
0,274,0
0,275,0
0,274,3
0,263,0
0,274,3
0,278,0
0,270,0
0,280,0
0,433,0
0,279,0
0,266,0
0,275,0
0,262,0
0,271,0
0,263,0
0,263,0
0,273,4
0,277,0
0,267,0
0,274,0
0,311,5
0,280,5
0,272,4
0,273,0
0,274,4
0,279,0
0,271,0
0,291,0
0,271,0
0,272,0
0,269,0
0,277,0
0,271,0
0,280,0
0,269,0
0,271,0
0,279,0
24,263,0
0,261,0
0,266,0
0,271,0
0,271,0
0,270,0
0,274,0
0,261,0
0,275,0
0,275,0
0,275,0
24,272,2
0,274,5
0,268,0
0,276,0
0,270,0
0,263,0
4.29E+09,388,0
0,279,5
0,270,0
0,277,3
0,273,0
0,308,0
0,272,0
0,267,0
0,277,0
0,272,0
0,265,0
0,274,3
0,272,3
0,278,5
24,275,4
0,277,0
4.29E+09,273,0
0,274,3
0,273,0
0,275,0
0,269,0
0,276,0
0,271,5
0,279,4
0,263,0
0,273,0
0,263,0
0,275,4
0,300,0
0,277,0
0,291,4
0,267,0
0,262,0
0,276,0
0,270,0
0,307,3
4.29E+09,285,0
0,278,0
0,272,0
0,263,0
0,271,0
0,275,4
0,302,0
0,267,0
0,272,0
0,278,0
0,272,0
0,274,0
0,271,0
0,272,0
0,267,0
0,263,0
0,267,3
0,276,0
0,271,4
0,276,0
0,262,0
0,271,0
0,261,0
0,277,0
0,271,0
0,263,0
0,271,4
0,276,4
0,255,0
0,268,0
0,270,0
0,272,0
0,275,3
0,278,4
0,272,2
0,266,0
0,275,0
0,279,0
24,273,4
0,271,0
0,274,0
0,274,0
0,268,0
0,277,3
0,271,0
0,327,6
0,270,0
0,277,0
0,271,0
0,278,0
0,272,4
0,269,0
4.29E+09,354,5
0,278,0
0,273,3
0,267,0
0,260,0
0,278,0
0,270,0
0,278,0
0,267,0
24,279,4
0,264,0
0,265,0
0,273,0
0,264,0
0,263,0
0,275,0
0,267,0
0,274,0
4.29E+09,276,0
0,275,3
0,274,3
0,267,0
0,274,0
0,274,0
0,273,0
0,274,0
4.29E+09,442,0
0,275,3
0,275,3
0,278,0
0,272,5
0,278,5
0,263,0
0,274,0
0,272,0
0,273,0
0,261,0
0,265,0
0,264,0
0,266,0
0,271,0
0,278,0
0,296,0
0,266,0
0,273,0
0,267,0
0,271,0
0,417,0
0,262,0
0,273,0
0,262,0
0,267,0
0,269,0
0,278,4
0,275,5
0,276,0
0,274,0
0,276,0
0,271,5
0,276,0
0,272,0
0,275,0
0,272,0
0,279,5
0,273,5
0,277,0
0,272,0
0,276,0
0,268,0
0,275,0
0,260,0
0,266,0
0,269,0
0,279,0
0,271,0
0,275,0
0,271,0
0,259,0
0,266,3
0,272,0
0,272,5
0,271,3
0,274,3
0,274,0
0,272,0
0,274,0
0,272,0
0,277,0
0,274,4
0,274,0
0,275,0
0,275,3
0,262,0
0,266,0
0,271,4
0,279,0
0,272,0
0,275,0
0,260,0
0,277,4
0,263,0
0,268,0
0,271,0
0,279,2
0,262,0
0,278,5
0,275,4
0,279,0
0,271,5
0,272,0
0,271,5
0,273,0
0,268,0
0,265,0
0,261,0
0,279,5
0,272,0
0,267,0
0,272,0
0,275,0
0,272,4
0,275,0
24,264,0
0,275,0
0,270,0
0,266,0
0,273,5
0,278,0
0,274,0
0,275,0
0,271,3
0,278,0
0,271,3
0,275,0
0,271,0
0,268,0
4.29E+09,418,0
0,278,4
0,272,0
4.29E+09,323,4
0,273,4
0,282,3
0,272,0
0,276,3
0,273,0
0,275,0
0,271,0
0,272,0
0,272,0
0,265,0
0,274,0
0,272,0
0,264,0
0,275,0
0,263,0
0,275,0
0,271,0
0,277,0
0,274,0
0,276,0
0,261,0
0,275,0
0,272,0
24,279,0
0,274,0
0,277,0
0,272,5
0,277,0
0,271,0
0,276,0
0,271,0
0,276,0
0,272,0
0,276,5
0,273,5
0,267,0
4.29E+09,383,0
0,278,4
0,272,0
0,275,3
0,270,0
0,265,0
0,272,0
0,277,0
0,273,4
0,276,0
0,274,0
0,263,0
0,255,0
0,272,0
0,267,3
0,278,0
0,271,5
0,278,0
0,269,0
0,277,0
0,275,0
0,271,0
0,271,0
0,274,0
0,261,0
0,277,0
0,271,0
0,274,0
4.29E+09,457,0
0,274,0
0,271,0
0,265,0
0,270,0
0,276,0
0,272,0
0,266,0
0,275,0
0,274,0
0,271,5
0,273,0
0,264,0
0,276,0
0,273,0
0,274,0
0,274,0
0,259,0
0,273,0
0,279,0
0,264,0
24,279,4
0,272,0
0,279,0
0,272,0
0,277,4
0,273,3
0,266,0
0,262,0
4.29E+09,324,0
0,260,0
0,276,0
0,274,0
4.29E+09,473,0
0,264,0
0,280,0
0,272,0
0,273,0
0,260,0
0,274,0
0,273,5
0,276,4
0,270,0
0,277,4
0,271,0
0,278,0
0,270,0
0,275,0
0,269,0
0,280,0
0,273,5
0,270,3
0,266,0
0,274,0
0,274,0
0,266,0
0,262,0
0,271,0
0,442,0
0,277,0
0,255,0
0,267,0
0,273,0
0,276,0
0,429,5
0,277,3
0,275,0
0,277,5
0,273,0
0,278,0
0,265,0
0,279,0
0,275,0
0,276,0
0,261,0
0,273,0
0,263,0
0,279,0
0,270,0
4.29E+09,453,0
0,273,0
0,274,0
0,275,4
0,275,4
0,275,5
0,266,0
0,293,0
0,268,0
0,272,0
0,275,0
0,274,5
0,278,4
0,269,0
0,259,0
0,272,3
0,278,0
0,270,0
0,278,0
0,263,0
0,277,4
0,271,0
0,267,0
0,274,3
0,276,0
0,269,0
0,264,0
0,261,0
0,273,0
0,273,4
0,263,0
0,439,0
0,266,0
0,271,0
0,276,0
0,270,0
4.29E+09,443,0
0,273,0
0,275,0
0,272,0
0,266,0
0,272,0
0,273,0
0,272,0
0,268,0
0,269,0
0,277,0
0,271,0
0,267,0
0,270,0
0,268,0
0,260,0
4.29E+09,364,0
0,272,0
0,276,0
0,274,0
0,272,0
0,276,3
0,276,4
0,268,0
0,279,4
0,272,0
0,279,4
0,270,0
0,265,0
0,275,0
0,279,4
0,274,4
0,268,0
0,262,0
0,278,3
0,275,0
0,274,0
4.29E+09,370,0
0,267,0
0,263,0
0,278,0
0,273,0
4.29E+09,461,0
0,274,4
0,269,0
0,271,0
0,275,0
0,264,0
0,275,0
0,271,0
0,273,0
0,274,0
0,275,0
0,264,0
0,276,4
0,273,4
0,270,0
0,268,0
2324,273,0
0,272,0
0,278,5
0,278,4
0,267,0
0,264,0
0,264,0
0,274,4
0,266,0
0,264,0
0,274,0
0,268,0
0,276,0
0,273,5
0,280,0
0,270,0
0,259,0
0,270,0
0,278,0
0,255,0
0,273,0
4.29E+09,281,4
0,278,4
0,270,0
0,275,0
0,264,0
0,275,0
0,270,0
0,266,0
0,260,0
0,276,0
0,446,0
0,274,0
0,275,5
0,277,0
0,274,5
0,272,0
0,264,0
0,277,0
0,270,0
0,276,0
0,272,0
0,271,0
0,272,0
0,275,0
0,274,0
0,263,0
0,264,0
0,266,0
24,266,0
0,263,0
0,272,0
2324,453,0
0,272,0
24,278,0
0,268,0
0,276,0
0,273,4
0,274,0
0,261,0
0,276,3
0,271,0
0,271,0
0,269,0
0,278,0
24,264,0
0,269,0
0,263,0
0,276,0
0,263,0
0,275,0
0,275,0
0,274,0
0,275,4
0,276,0
0,270,0
0,279,0
0,270,0
0,266,0
0,274,0
0,277,4
0,271,0
0,266,0
0,262,0
0,277,4
0,271,0
0,277,0
0,266,0
0,275,0
0,272,0
0,277,4
0,272,0
0,275,5
0,270,0
0,266,0
0,419,5
0,265,0
0,263,0
0,264,0
0,273,3
0,276,0
0,261,0
0,432,0
0,261,0
0,265,0
0,266,3
0,276,0
0,260,0
0,271,3
0,261,0
0,271,0
0,269,0
0,275,0
0,270,0
0,277,4
0,270,0
0,273,0
0,275,0
0,274,0
0,270,4
0,276,0
0,271,0
0,276,0
0,275,0
0,276,0
0,276,0
4.29E+09,352,0
0,268,0
0,268,0
0,273,5
0,264,0
0,260,0
0,275,0
0,272,0
0,275,0
24,269,0
4.29E+09,447,0
0,273,5
0,265,0
0,262,0
0,273,0
24,270,0
0,276,0
0,272,0
0,276,0
0,272,0
0,276,0
0,275,3
0,274,0
0,272,4
0,280,0
0,270,0
0,277,3
0,273,0
0,268,0
0,270,0
0,272,0
0,271,4
0,268,0
0,265,0
0,273,0
0,261,0
0,276,3
0,271,0
0,263,0
0,259,0
0,277,0
0,278,5
0,276,0
0,269,0
0,273,0
0,273,0
0,268,0
0,274,0
0,274,0
0,273,0
0,279,4
0,273,0
0,278,0
0,271,0
0,275,0
0,274,5
0,275,0
0,263,0
0,276,0
0,273,5
0,278,5
0,272,0
0,276,0
0,275,0
0,265,0
0,271,4
0,277,5
0,271,0
0,275,0
0,271,4
0,268,0
0,261,0
0,275,0
0,271,0
0,276,0
0,260,0
0,269,0
0,272,0
0,270,0
0,274,0
0,276,0
0,271,0
0,273,0
0,271,0
0,274,0
24,273,0
0,276,5
0,271,3
0,275,0
0,270,0
0,273,0
0,261,0
0,274,0
